Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 14/11/2012
TIME       : 22:54:11
FILENAME   : D:\Diver Office\CSV\bro_oevre2_121114225410_G4445.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-G4445  216.
  Instrument number       =                    
                          =0
  Location                =bro_oevre2
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =..00-G4445  216.
  Instrument number       =                    
  Location                =bro_oevre2
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:00 08-05-12
  End date / time         =00:55:15 21-10-12
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
48000
Date/time;Pressure[cm];Temperature[°C]
2012-05-08 00:00:00;1034.8;17.67
2012-05-08 00:05:00;1034.6;17.67
2012-05-08 00:10:00;1034.7;17.66
2012-05-08 00:15:00;1034.7;17.66
2012-05-08 00:20:00;1034.8;17.66
2012-05-08 00:25:00;1034.5;17.65
2012-05-08 00:30:00;1034.6;17.66
2012-05-08 00:35:00;1034.7;17.70
2012-05-08 00:40:00;1034.8;17.77
2012-05-08 00:45:00;1034.8;17.84
2012-05-08 00:50:00;1034.9;17.95
2012-05-08 00:55:00;1034.8;18.07
2012-05-08 01:00:00;1034.7;18.20
2012-05-08 01:05:00;1034.7;18.32
2012-05-08 01:10:00;1034.8;18.43
2012-05-08 01:15:00;1034.8;18.53
2012-05-08 01:20:00;1034.3;18.59
2012-05-08 01:25:00;1034.8;18.59
2012-05-08 01:30:00;1034.6;18.63
2012-05-08 01:35:00;1034.3;18.70
2012-05-08 01:40:00;1034.5;18.74
2012-05-08 01:45:00;1034.4;18.75
2012-05-08 01:50:00;1034.6;18.77
2012-05-08 01:55:00;1034.3;18.79
2012-05-08 02:00:00;1034.3;18.78
2012-05-08 02:05:00;1034.6;18.77
2012-05-08 02:10:00;1034.6;18.73
2012-05-08 02:15:00;1034.4;18.69
2012-05-08 02:20:00;1034.5;18.64
2012-05-08 02:25:00;1034.5;18.60
2012-05-08 02:30:00;1034.3;18.57
2012-05-08 02:35:00;1034.3;18.53
2012-05-08 02:40:00;1034.3;18.50
2012-05-08 02:45:00;1034.4;18.48
2012-05-08 02:50:00;1034.5;18.45
2012-05-08 02:55:00;1034.3;18.43
2012-05-08 03:00:00;1034.3;18.41
2012-05-08 03:05:00;1034.8;18.39
2012-05-08 03:10:00;1034.5;18.37
2012-05-08 03:15:00;1034.5;18.36
2012-05-08 03:20:00;1034.5;18.34
2012-05-08 03:25:00;1034.6;18.32
2012-05-08 03:30:00;1034.6;18.31
2012-05-08 03:35:00;1034.5;18.30
2012-05-08 03:40:00;1034.6;18.28
2012-05-08 03:45:00;1034.1;18.27
2012-05-08 03:50:00;1034.5;18.26
2012-05-08 03:55:00;1034.3;18.24
2012-05-08 04:00:00;1034.3;18.23
2012-05-08 04:05:00;1034.3;18.22
2012-05-08 04:10:00;1034.2;18.20
2012-05-08 04:15:00;1034.2;18.19
2012-05-08 04:20:00;1034.1;18.18
2012-05-08 04:25:00;1034.1;18.18
2012-05-08 04:30:00;1034.0;18.16
2012-05-08 04:35:00;1034.2;18.15
2012-05-08 04:40:00;1034.2;18.15
2012-05-08 04:45:00;1034.3;18.15
2012-05-08 04:50:00;1034.3;18.14
2012-05-08 04:55:00;1034.2;18.13
2012-05-08 05:00:00;1034.0;18.13
2012-05-08 05:05:00;1034.1;18.12
2012-05-08 05:10:00;1034.1;18.12
2012-05-08 05:15:00;1034.1;18.12
2012-05-08 05:20:00;1034.0;18.11
2012-05-08 05:25:00;1033.9;18.11
2012-05-08 05:30:00;1034.0;18.11
2012-05-08 05:35:00;1033.7;18.11
2012-05-08 05:40:00;1033.9;18.11
2012-05-08 05:45:00;1033.9;18.11
2012-05-08 05:50:00;1033.9;18.11
2012-05-08 05:55:00;1033.7;18.11
2012-05-08 06:00:00;1033.9;18.11
2012-05-08 06:05:00;1033.9;18.11
2012-05-08 06:10:00;1034.1;18.12
2012-05-08 06:15:00;1033.9;18.12
2012-05-08 06:20:00;1033.7;18.12
2012-05-08 06:25:00;1033.7;18.12
2012-05-08 06:30:00;1033.5;18.12
2012-05-08 06:35:00;1033.7;18.12
2012-05-08 06:40:00;1033.6;18.13
2012-05-08 06:45:00;1033.6;18.13
2012-05-08 06:50:00;1033.6;18.13
2012-05-08 06:55:00;1033.2;18.13
2012-05-08 07:00:00;1033.2;18.13
2012-05-08 07:05:00;1033.4;18.13
2012-05-08 07:10:00;1033.6;18.14
2012-05-08 07:15:00;1033.5;18.15
2012-05-08 07:20:00;1033.3;18.15
2012-05-08 07:25:00;1033.2;18.15
2012-05-08 07:30:00;1033.2;18.15
2012-05-08 07:35:00;1033.2;18.16
2012-05-08 07:40:00;1033.2;18.16
2012-05-08 07:45:00;1033.2;18.16
2012-05-08 07:50:00;1033.2;18.17
2012-05-08 07:55:00;1033.2;18.17
2012-05-08 08:00:00;1033.0;18.17
2012-05-08 08:05:00;1032.9;18.17
2012-05-08 08:10:00;1033.0;18.18
2012-05-08 08:15:00;1033.0;18.18
2012-05-08 08:20:00;1032.9;18.18
2012-05-08 08:25:00;1032.9;18.18
2012-05-08 08:30:00;1032.9;18.18
2012-05-08 08:35:00;1032.7;18.18
2012-05-08 08:40:00;1032.9;18.18
2012-05-08 08:45:00;1032.7;18.18
2012-05-08 08:50:00;1032.6;18.18
2012-05-08 08:55:00;1032.7;18.18
2012-05-08 09:00:00;1032.4;18.19
2012-05-08 09:05:00;1032.4;18.20
2012-05-08 09:10:00;1032.4;18.20
2012-05-08 09:15:00;1032.4;18.20
2012-05-08 09:20:00;1032.2;18.21
2012-05-08 09:25:00;1031.9;18.22
2012-05-08 09:30:00;1032.0;18.24
2012-05-08 09:35:00;1032.2;18.24
2012-05-08 09:40:00;1032.2;18.17
2012-05-08 09:45:00;1032.0;18.07
2012-05-08 09:50:00;1031.9;17.96
2012-05-08 09:55:00;1031.9;17.85
2012-05-08 10:00:00;1031.8;17.75
2012-05-08 10:05:00;1032.2;17.66
2012-05-08 10:10:00;1031.8;17.58
2012-05-08 10:15:00;1031.8;17.53
2012-05-08 10:20:00;1031.8;17.49
2012-05-08 10:25:00;1031.6;17.47
2012-05-08 10:30:00;1031.5;17.42
2012-05-08 10:35:00;1031.4;17.37
2012-05-08 10:40:00;1031.4;17.34
2012-05-08 10:45:00;1031.3;17.29
2012-05-08 10:50:00;1031.5;17.26
2012-05-08 10:55:00;1031.1;17.26
2012-05-08 11:00:00;1031.1;17.31
2012-05-08 11:05:00;1031.3;17.51
2012-05-08 11:10:00;1031.3;17.74
2012-05-08 11:15:00;1031.1;17.98
2012-05-08 11:20:00;1031.1;18.22
2012-05-08 11:25:00;1031.1;18.43
2012-05-08 11:30:00;1030.9;18.61
2012-05-08 11:35:00;1030.9;18.79
2012-05-08 11:40:00;1030.9;18.94
2012-05-08 11:45:00;1031.1;19.09
2012-05-08 11:50:00;1030.9;19.21
2012-05-08 11:55:00;1030.9;19.32
2012-05-08 12:00:00;1030.8;19.42
2012-05-08 12:05:00;1030.6;19.53
2012-05-08 12:10:00;1030.6;19.61
2012-05-08 12:15:00;1030.7;19.64
2012-05-08 12:20:00;1030.2;19.63
2012-05-08 12:25:00;1030.4;19.61
2012-05-08 12:30:00;1030.3;19.60
2012-05-08 12:35:00;1030.1;19.59
2012-05-08 12:40:00;1030.1;19.59
2012-05-08 12:45:00;1030.1;19.59
2012-05-08 12:50:00;1030.0;19.57
2012-05-08 12:55:00;1029.9;19.55
2012-05-08 13:00:00;1029.9;19.54
2012-05-08 13:05:00;1029.6;19.52
2012-05-08 13:10:00;1029.8;19.51
2012-05-08 13:15:00;1029.8;19.49
2012-05-08 13:20:00;1029.7;19.47
2012-05-08 13:25:00;1029.5;19.46
2012-05-08 13:30:00;1029.5;19.44
2012-05-08 13:35:00;1029.5;19.44
2012-05-08 13:40:00;1029.5;19.52
2012-05-08 13:45:00;1029.5;19.51
2012-05-08 13:50:00;1029.3;19.48
2012-05-08 13:55:00;1029.5;19.63
2012-05-08 14:00:00;1029.3;19.83
2012-05-08 14:05:00;1031.5;19.96
2012-05-08 14:10:00;1031.5;20.28
2012-05-08 14:15:00;1031.7;20.77
2012-05-08 14:20:00;1031.5;21.28
2012-05-08 14:25:00;1032.3;21.69
2012-05-08 14:30:00;1032.5;21.62
2012-05-08 14:35:00;1032.3;21.31
2012-05-08 14:40:00;1032.5;20.91
2012-05-08 14:45:00;1032.5;20.48
2012-05-08 14:50:00;1032.2;21.76
2012-05-08 14:55:00;1104.8;22.01
2012-05-08 15:00:00;1058.9;13.48
2012-05-08 15:05:00;1059.1;11.86
2012-05-08 15:10:00;1058.1;11.39
